PVI;Station;Easting;Northing;elev_exist;elev_des;elev_diff;d_eastAxe
179;26790;178068.04270000000;659486.29670000000;29.73800000000;-4.67500000000;34.41300000000;-13.50000098570
180;26800;178065.55220000000;659476.61180000000;29.88400000000;-4.58500000000;34.47000000000;-13.49999267320
181;26810;178063.06170000000;659466.92690000000;29.88200000000;-4.49500000000;34.37700000000;-13.50090456210
182;26820;178060.57120000000;659457.24200000000;29.62500000000;-4.40500000000;34.03000000000;-13.51374716340
183;26830;178058.08070000000;659447.55710000000;29.27500000000;-4.31500000000;33.59000000000;-13.57711911650
184;26840;178055.59010000000;659437.87220000000;28.95000000000;-4.22500000000;33.17500000000;-13.73031776640
185;26850;178053.09960000000;659428.18720000000;28.49700000000;-4.13500000000;32.63200000000;-14.06207935090
186;26860;178050.60910000000;659418.50230000000;28.09300000000;-4.04500000000;32.13800000000;-14.47258934230
187;26870;178048.11860000000;659408.81740000000;27.88700000000;-3.95500000000;31.84200000000;-15.08506722520
188;26880;178045.62810000000;659399.13250000000;27.63900000000;-3.86500000000;31.50400000000;-15.77794317780
189;26890;178043.13760000000;659389.44760000000;27.51500000000;-3.77500000000;31.29000000000;-16.64007730270
190;26900;178040.64710000000;659379.76270000000;27.80200000000;-3.68500000000;31.48700000000;-17.63696592270
191;26910;178038.15660000000;659370.07780000000;28.20900000000;-3.59500000000;31.80400000000;-18.70084276250
192;26920;178035.66610000000;659360.39290000000;28.56000000000;-3.50500000000;32.06500000000;-19.79723157980
193;26930;178033.18150000000;659350.70650000000;28.77700000000;-3.41500000000;32.19200000000;-20.89300271820
194;26940;178030.73560000000;659341.01020000000;28.71700000000;-3.32500000000;32.04100000000;-21.94906536190
195;26950;178028.36900000000;659331.29440000000;28.87100000000;-3.23500000000;32.10600000000;-22.92387219730
196;26960;178026.12240000000;659321.55010000000;29.16600000000;-3.14500000000;32.31100000000;-23.77586140090
197;26970;178024.03080000000;659311.77140000000;29.25100000000;-3.05500000000;32.30600000000;-24.46955089940
198;26980;178022.10240000000;659301.95920000000;29.19200000000;-2.96500000000;32.15600000000;-24.99694914850
199;26990;178020.33760000000;659292.11630000000;29.12500000000;-2.87500000000;32.00000000000;-25.35805443900
200;27000;178018.72140000000;659282.24780000000;29.08200000000;-2.78500000000;31.86700000000;-25.56843549050
201;27010;178017.21480000000;659272.36200000000;28.95400000000;-2.69500000000;31.64800000000;-25.66787249100
202;27020;178015.77680000000;659262.46590000000;28.82400000000;-2.60500000000;31.42900000000;-25.69794262810
203;27030;178014.36650000000;659252.56590000000;28.64100000000;-2.51500000000;31.15600000000;-25.70003959180
204;27040;178012.95830000000;659242.66550000000;28.47100000000;-2.43600000000;30.90700000000;-25.70000115330
205;27050;178011.55010000000;659232.76520000000;28.40300000000;-2.37900000000;30.78100000000;-25.69997679700
206;27060;178010.14180000000;659222.86480000000;28.32000000000;-2.34400000000;30.66400000000;-25.70003736200
207;27070;178008.73360000000;659212.96450000000;28.42400000000;-2.33200000000;30.75600000000;-25.70001300570
208;27080;178007.32540000000;659203.06410000000;28.95100000000;-2.33200000000;31.28300000000;-25.69997456720
209;27090;178005.91710000000;659193.16380000000;29.51000000000;-2.33200000000;31.84200000000;-25.70004921440
210;27100;178004.50890000000;659183.26340000000;29.73400000000;-2.33200000000;32.06600000000;-25.70001077590
211;27110;178003.10070000000;659173.36310000000;29.29500000000;-2.33200000000;31.62700000000;-25.69998641970
212;27120;178001.69250000000;659163.46280000000;28.66500000000;-2.33200000000;30.99700000000;-25.69996206340
213;27130;178000.28420000000;659153.56240000000;27.91200000000;-2.33200000000;30.24400000000;-25.70002262840
214;27140;177998.87600000000;659143.66210000000;27.60300000000;-2.33200000000;29.93500000000;-25.69999827220
215;27150;177997.46780000000;659133.76170000000;27.55100000000;-2.33200000000;29.88300000000;-25.69995983360
216;27160;177996.05950000000;659123.86140000000;27.78500000000;-2.33200000000;30.11700000000;-25.70003448090
217;27170;177994.65130000000;659113.96100000000;27.07200000000;-2.33200000000;29.40400000000;-25.69999604230
218;27180;177993.24310000000;659104.06070000000;26.81500000000;-2.33200000000;29.14700000000;-25.69997168610
219;27190;177991.83480000000;659094.16030000000;26.55800000000;-2.33200000000;28.89000000000;-25.70003225100
220;27200;177990.42660000000;659084.26000000000;26.43800000000;-2.33200000000;28.77000000000;-25.70000789480
221;27210;177989.01840000000;659074.35960000000;26.28800000000;-2.33200000000;28.62000000000;-25.69996945620
222;27220;177987.61010000000;659064.45930000000;25.92900000000;-2.33200000000;28.26100000000;-25.70004410350
223;27230;177986.20190000000;659054.55890000000;25.63400000000;-2.33200000000;27.96600000000;-25.70000566500
224;27240;177984.79370000000;659044.65860000000;25.26900000000;-2.33200000000;27.60100000000;-25.69998130870
225;27250;177983.38540000000;659034.75820000000;24.85900000000;-2.33200000000;27.19100000000;-25.70004187370
226;27260;177981.97720000000;659024.85790000000;24.44300000000;-2.33200000000;26.77500000000;-25.70001751750
227;27270;177980.56900000000;659014.95750000000;24.07200000000;-2.33200000000;26.40400000000;-25.69997907890
228;27280;177979.16080000000;659005.05720000000;23.74500000000;-2.35000000000;26.09500000000;-25.69995472270
229;27290;177977.75250000000;658995.15680000000;23.45600000000;-2.40700000000;25.86400000000;-25.70001528760
230;27300;177976.34430000000;658985.25650000000;23.26000000000;-2.50500000000;25.76500000000;-25.69999093140
231;27310;177974.93610000000;658975.35610000000;23.02400000000;-2.64200000000;25.66700000000;-25.69995249280
