PVI;Station;Easting;Northing;elev_exist;elev_des;elev_dif;d_northAxe
90;35400;182218.05690000000;654203.78690000000;40.08600000000;13.06200000000;27.02400000000;-13.50590325370
91;35410;182227.64120000000;654200.93350000000;40.00900000000;13.01200000000;26.99700000000;-13.50160030760
92;35420;182237.23350000000;654198.10720000000;39.93300000000;12.96200000000;26.97100000000;-13.49999811730
93;35430;182246.82680000000;654195.28430000000;39.85600000000;12.91200000000;26.94400000000;-13.49995521270
94;35440;182256.42010000000;654192.46130000000;39.89800000000;12.86200000000;27.03600000000;-13.50000824100
95;35450;182266.01330000000;654189.63840000000;39.91400000000;12.81200000000;27.10200000000;-13.49999356570
96;35460;182275.60660000000;654186.81540000000;39.93500000000;12.76200000000;27.17300000000;-13.50004659400
97;35470;182285.19990000000;654183.99250000000;39.88100000000;12.72800000000;27.15400000000;-13.50000368930
98;35480;182294.79320000000;654181.16960000000;40.07100000000;12.73300000000;27.33800000000;-13.49996078490
99;35490;182304.38650000000;654178.34660000000;40.30100000000;12.77800000000;27.52300000000;-13.50001381310
100;35500;182313.97970000000;654175.52370000000;40.55600000000;12.86400000000;27.69200000000;-13.49999913800
101;35510;182323.57300000000;654172.70080000000;40.73400000000;12.98900000000;27.74400000000;-13.49995623340
102;35520;182333.16630000000;654169.87780000000;40.86000000000;13.14700000000;27.71300000000;-13.50000926170
103;35530;182342.75960000000;654167.05490000000;41.02000000000;13.30700000000;27.71300000000;-13.49996635710
104;35540;182352.35290000000;654164.23190000000;41.83100000000;13.46700000000;28.36400000000;-13.50001938540
105;35550;182361.94610000000;654161.40900000000;42.35100000000;13.62700000000;28.72500000000;-13.50000471010
106;35560;182371.53940000000;654158.58610000000;42.69500000000;13.78700000000;28.90900000000;-13.49996180560
107;35570;182381.13270000000;654155.76310000000;42.88000000000;13.94700000000;28.93400000000;-13.50001483380
108;35580;182390.72600000000;654152.94020000000;43.03800000000;14.10700000000;28.93200000000;-13.49997192930
109;35590;182400.31920000000;654150.11720000000;43.21500000000;14.26700000000;28.94800000000;-13.50005318690
110;35600;182409.91250000000;654147.29430000000;43.38600000000;14.42700000000;28.95900000000;-13.50001028230
